"Flow_well","Temp_diff","Temp_diff_real","kW_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Long_dispersivity","Trans_dispersivity","Iso_width","Iso_distance","Area","Isotherm"
48.3,5,4.77047951652,11.684,0.0015,0.0035,4,5,2.5,62.0762445568,488.977325307,24537.9196733,1
48.3,5,4.77047951652,11.684,0.0015,0.0035,4,5,2.5,27.7251200336,97.1778635134,2230.55631905,2
48.3,5,4.77047951652,11.684,0.0015,0.0035,4,5,2.5,14.6146406808,28.1862778752,364.070459348,3
48.3,5,4.77047951652,11.684,0.0015,0.0035,4,5,2.5,5.49583613158,5.1655474312,31.0173394232,4
67.7,5,5.00322116056,16.377,0.0015,0.0035,4,5,2.5,87.9991532507,972.963106573,69000.2351429,1
67.7,5,5.00322116056,16.377,0.0015,0.0035,4,5,2.5,40.902989591,200.6982136,6710.39900441,2
67.7,5,5.00322116056,16.377,0.0015,0.0035,4,5,2.5,23.0885271631,61.9551159537,1214.11294268,3
67.7,5,5.00322116056,16.377,0.0015,0.0035,4,5,2.5,11.2158092369,15.5618666168,168.10046668,4
87,5,5.12917709198,21.045,0.0015,0.0035,4,5,2.5,113.431980428,1613.32296433,147420.63924,1
87,5,5.12917709198,21.045,0.0015,0.0035,4,5,2.5,54.0272991808,341.417184553,15016.3942435,2
87,5,5.12917709198,21.045,0.0015,0.0035,4,5,2.5,31.7305289603,110.093650349,2891.94639378,3
87,5,5.12917709198,21.045,0.0015,0.0035,4,5,2.5,17.065914423,31.4397096351,481.706356796,4
106.3,5,5.20297805442,25.714,0.0015,0.0035,4,5,2.5,67.1326755273,520.62037858,28350.2407196,2
106.3,5,5.20297805442,25.714,0.0015,0.0035,4,5,2.5,40.5059716377,172.731306728,5716.21992063,3
106.3,5,5.20297805442,25.714,0.0015,0.0035,4,5,2.5,23.1308302139,52.5444402294,1056.8096335,4
58.1,5,4.30320499111,14.054,0.0015,0.007,4,5,2.5,36.0984811424,175.412476799,5162.48479896,1
58.1,5,4.30320499111,14.054,0.0015,0.007,4,5,2.5,14.7941803578,32.7332005214,414.999889903,2
58.1,5,4.30320499111,14.054,0.0015,0.007,4,5,2.5,6.61508111811,7.95047124069,52.1823720821,3
96.7,5,4.78119467298,23.392,0.0015,0.007,4,5,2.5,62.1904276845,500.149135807,25146.8486998,1
96.7,5,4.78119467298,23.392,0.0015,0.007,4,5,2.5,27.8484676964,99.5631575065,2293.07717867,2
96.7,5,4.78119467298,23.392,0.0015,0.007,4,5,2.5,14.7504752323,28.9863340686,376.536190378,3
96.7,5,4.78119467298,23.392,0.0015,0.007,4,5,2.5,5.65003853328,5.41361416977,33.2272192199,4
135.3,5,5.00990215374,32.729,0.0015,0.007,4,5,2.5,87.9694613437,991.675095931,70298.3958462,1
135.3,5,5.00990215374,32.729,0.0015,0.007,4,5,2.5,40.9624027911,204.447778232,6852.21441105,2
135.3,5,5.00990215374,32.729,0.0015,0.007,4,5,2.5,23.1947760506,63.430280348,1244.46329646,3
135.3,5,5.00990215374,32.729,0.0015,0.007,4,5,2.5,11.3577416796,16.0054253745,174.630672878,4
173.9,5,5.13411016137,42.066,0.0015,0.007,4,5,2.5,113.391604007,1644.34146228,150226.542634,1
173.9,5,5.13411016137,42.066,0.0015,0.007,4,5,2.5,54.0842512483,348.457133792,15334.0273361,2
173.9,5,5.13411016137,42.066,0.0015,0.007,4,5,2.5,31.8460721922,112.488894196,2962.6063584,3
173.9,5,5.13411016137,42.066,0.0015,0.007,4,5,2.5,17.2250302226,32.2856906007,497.781980349,4
212.5,5,5.20664147845,51.403,0.0015,0.007,4,5,2.5,67.1834394534,531.419239611,28946.9494846,2
212.5,5,5.20664147845,51.403,0.0015,0.007,4,5,2.5,40.6297928373,176.485439721,5853.79160128,3
212.5,5,5.20664147845,51.403,0.0015,0.007,4,5,2.5,23.3126524957,54.1126417868,1089.67235064,4
481.1,5,4.31492785599,116.377,0.0015,0.058,4,5,2.5,36.1290532452,178.534198009,5255.17894054,1
481.1,5,4.31492785599,116.377,0.0015,0.058,4,5,2.5,14.8580344792,33.3592093834,424.136614663,2
481.1,5,4.31492785599,116.377,0.0015,0.058,4,5,2.5,6.69271697028,8.16338670612,53.939194267,3
800,5,4.78880996221,193.519,0.0015,0.058,4,5,2.5,62.1324553197,508.300004466,25510.528537,1
800,5,4.78880996221,193.519,0.0015,0.058,4,5,2.5,27.8809283878,101.230101094,2331.65705088,2
800,5,4.78880996221,193.519,0.0015,0.058,4,5,2.5,14.8195795948,29.5323514597,384.595648035,3
800,5,4.78880996221,193.519,0.0015,0.058,4,5,2.5,5.75247172633,5.58981942661,34.799505243,4
1118.9,5,5.01513193437,270.66,0.0015,0.058,4,5,2.5,87.8297493122,1006.10092148,71208.3412001,1
1118.9,5,5.01513193437,270.66,0.0015,0.058,4,5,2.5,40.9540717652,207.63677303,6953.27967838,2
1118.9,5,5.01513193437,270.66,0.0015,0.058,4,5,2.5,23.2519001038,64.3865569594,1266.70599197,3
